Device,Acq Date,Acq Time,Time step,Voc,Jsc,VPP,MPP,FF,PCE,Light,V_r,J_r,V_f,J_f,Acq Soak Voltage,Acq Soak Time,Acq Hold Time,Acq Step Voltage,Acq Rev Voltage,Acq Forw Voltage,Architecture,Direction,Num Track Devices,Delay Before Meas,Track Time,Hold Track Time,Device Area,Operator,Comments
,,,,,,,,,,,-0.4500000009999996,-3.0472348148148143,0.8499999990000016,-2.3430703703703704,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.40000000099999955,-3.0420525925925923,0.7999999990000015,-2.7201814814814815,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.3500000009999995,-3.06352,0.7499999990000015,-2.8289622222222217,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.30000000099999946,-3.030111851851852,0.6999999990000014,-2.93493037037037,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.2500000009999994,-3.0290325925925927,0.6499999990000014,-3.0076866666666664,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.20000000099999937,-3.0179548148148148,0.5999999990000013,-3.023125185185185,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.15000000099999933,-2.957674074074074,0.5499999990000013,-3.0386918518518518,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.10000000099999928,-2.915903703703704,0.49999999900000125,-3.055953333333333,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.05000000099999924,-2.7871577777777774,0.4499999990000012,-3.0701348148148146,,,,,,,,,,,,,,,
,,,,,,,,,,,-9.999991945619513e-10,-2.631428148148148,0.39999999900000116,-3.0337266666666665,,,,,,,,,,,,,,,
,,,,,,,,,,,0.04999999900000085,-2.433524444444444,0.3499999990000011,-3.082380740740741,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0999999990000009,-2.1624007407407406,0.29999999900000107,-3.034565925925926,,,,,,,,,,,,,,,
,,,,,,,,,,,0.14999999900000094,-1.887888148148148,0.24999999900000103,-3.0681266666666667,,,,,,,,,,,,,,,
,,,,,,,,,,,0.19999999900000098,-1.584682222222222,0.19999999900000098,-3.083424444444444,,,,,,,,,,,,,,,
,,,,,,,,,,,0.24999999900000103,-1.3347066666666665,0.14999999900000094,-3.0771059259259257,,,,,,,,,,,,,,,
,,,,,,,,,,,0.29999999900000107,-1.1288162962962962,0.0999999990000009,-3.046806666666667,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3499999990000011,-0.9651696296296297,0.04999999900000085,-3.068902222222222,,,,,,,,,,,,,,,
,,,,,,,,,,,0.39999999900000116,-0.8291059259259258,-9.999991945619513e-10,-3.084688148148148,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4499999990000012,-1.4844496296296295,-0.05000000099999924,-3.0592407407407407,,,,,,,,,,,,,,,
,,,,,,,,,,,0.49999999900000125,-0.8528385185185184,-0.10000000099999928,-3.0994888888888887,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5499999990000013,-1.284399259259259,-0.15000000099999933,-3.0788148148148147,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5999999990000013,-0.7444585185185185,-0.20000000099999937,-3.0899599999999996,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6499999990000014,-1.0373059259259259,-0.2500000009999994,-3.0719555555555558,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6999999990000014,-1.0111607407407406,-0.30000000099999946,-3.0500518518518516,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7499999990000015,-0.9195792592592592,-0.3500000009999995,-3.0500488888888886,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7999999990000015,-0.6705454814814814,-0.40000000099999955,-3.0758096296296293,,,,,,,,,,,,,,,
,,,,,,,,,,,0.8499999990000016,-0.38019718518518514,-0.4500000009999996,-3.054448148148148,,,,,,,,,,,,,,,
,,,,,,,,,,,0.8999999990000016,-0.150299037037037,-0.5000000009999996,-3.0606466666666665,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9499999990000016,0.26199674074074075,-0.5500000009999997,-3.067855555555555,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9999999990000017,1.1048777777777776,-0.6000000009999997,-3.0766799999999996,,,,,,,,,,,,,,,
,,,,,,,,,,,1.0499999990000015,2.60278962962963,-0.6500000009999998,-3.0432755555555553,,,,,,,,,,,,,,,
,,,,,,,,,,,1.0999999990000018,4.699504444444445,-0.7000000009999998,-3.0631133333333334,,,,,,,,,,,,,,,
,,,,,,,,,,,1.149999999000002,8.756444444444444,-0.7500000009999999,-3.10205037037037,,,,,,,,,,,,,,,
,,,,,,,,,,,1.1999999990000019,12.393614814814814,-0.8000000009999999,-3.0794637037037034,,,,,,,,,,,,,,,
,,,,,,,,,,,1.2499999990000017,18.84508148148148,-0.850000001,-3.0596925925925924,,,,,,,,,,,,,,,
,,,,,,,,,,,1.299999999000002,29.38168148148148,-0.900000001,-3.069325185185185,,,,,,,,,,,,,,,
,,,,,,,,,,,1.3499999990000022,45.50269629629629,-0.950000001,-3.0956755555555553,,,,,,,,,,,,,,,
,,,,,,,,,,,1.399999999000002,67.08064444444445,-1.000000001,-3.077782222222222,,,,,,,,,,,,,,,
